εἷς, μία, ἕν αˊ	one 1
δύο βˊ	two 2
τρεῖς, τρία γˊ	three 3
τέσσαρες, τέσσαρα δˊ	four 4
πέντε εˊ	five 5
ἕξ ϛˊ	six 6
ἑπτά ζˊ	seven 7
ὀκτώ ηˊ	eight 8
ἐννέα θˊ	nine 9
δέκα ιˊ	ten 10
ἕνδεκα ιαˊ	eleven 11
δώδεκα ιβˊ	twelve 12
τρεῖς καὶ δέκα ιγˊ	thirteen 13
τέσσαρες καὶ δέκα ιδˊ	fourteen 14
πεντεκαίδεκα ιεˊ	fifteen 15
ἑκκαίδεκα ιϛˊ	sixteen 16
ἑπτακαίδεκα ιζˊ	seventeen 17
ὀκτωκαίδεκα ιηˊ	eighteen 18
ἐννεακαίδεκα ιθˊ	nineteen 19
εἴκοσι κˊ	twenty 20
τριάκοντα λˊ	thirty 30
τεσσαράκοντα μˊ	forty 40
πεντήκοντα νˊ	fifty 50
ἑξήκοντα ξˊ	sixty 60
ἐβδομήκοντα οˊ	seventy 70
ὀγδοήκοντα πˊ	eighty 80
ἐνενήκοντα ϙˊ	ninety 90
ἑκατόν ρˊ	one hundred 100
διᾱκόσιοι σˊ	two hundred 200
τριᾱκόσιοι τˊ	three hundred 300
τετρακόσιοι υˊ	four hundred 400
πεντακόσιοι φˊ	five hundred 500
ἑξακόσιοι χˊ	six hundred 600
ἑπτακόσιοι ψˊ	seven hundred 700
ὀκτακόσιοι ωˊ	eight hundred 800
ἐνακόσιοι ϡˊ	nine hundred 900
χίλιοι ͵α	one thousand 1,000
δισχίλιοι ͵β	two thousand 2,000
τρισχίλιοι ͵γ	three thousand 3,000
μύριοι ͵ι	ten thousand 10,000
τριᾱκόσιοι εἴκοσι πέντε τκεˊ	three hundred and twenty five 325